id | date | time | ip | table | result count | run time | query
91 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','89',1,0,'2024-01-02 02:25:22',0,'::1',0)
92 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','90',1,0,'2024-01-02 02:25:22',0,'::1',0)
93 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','91',1,0,'2024-01-02 02:25:22',0,'::1',0)
94 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','92',1,0,'2024-01-02 02:25:22',0,'::1',0)
95 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','93',1,0,'2024-01-02 02:25:22',0,'::1',0)
96 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','94',1,0,'2024-01-02 02:25:22',0,'::1',0)
97 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','95',1,0,'2024-01-02 02:25:22',0,'::1',0)
98 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','96',1,0,'2024-01-02 02:25:22',0,'::1',0)
99 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','97',1,0,'2024-01-02 02:25:22',0,'::1',0)
100 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','98',1,0,'2024-01-02 02:25:22',0,'::1',0)
101 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','99',1,0,'2024-01-02 02:25:22',0,'::1',0)
102 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','100',1,0,'2024-01-02 02:25:22',0,'::1',0)
103 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','101',1,0,'2024-01-02 02:25:22',0,'::1',0)
104 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','102',1,0,'2024-01-02 02:25:22',0,'::1',0)
105 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','103',1,0,'2024-01-02 02:25:22',0,'::1',0)
106 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','104',1,0,'2024-01-02 02:25:22',0,'::1',0)
107 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','105',1,0,'2024-01-02 02:25:22',0,'::1',0)
108 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','106',1,0,'2024-01-02 02:25:22',0,'::1',0)
